,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
A3 What is your ethnic group?,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Asian / Asian British: Bangladeshi,6%,6%,6%,13%,7%,6%,3%,2%,3%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,10%,8%,2%,6%,0%,6%,1%,4%,8%,0%,3%,5%,6%,5%,10%,9%,6%,4%,4%,4%,10%,4%,6%,5%,16%,5%,6%,0%,1%,13%,15%,2%,1%,0%,7%,4%,2%,4%,7%,8%,5%,6%,8%,5%,2%,7%,5%,6%,7%,6%,6%,5%,7%,6%,6%,7%,6%,4%,7%,7%,7%,5%,6%,6%,7%,7%,6%,6%,6%,7%,6%,6%
,Asian / Asian British: Chinese,5%,5%,5%,3%,3%,4%,7%,7%,4%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,7%,5%,5%,5%,10%,9%,1%,12%,3%,2%,4%,1%,2%,5%,5%,6%,5%,3%,6%,4%,3%,3%,7%,6%,2%,1%,29%,5%,1%,0%,1%,16%,0%,3%,5%,4%,3%,5%,5%,6%,6%,5%,5%,5%,5%,6%,5%,8%,5%,5%,0%,6%,6%,4%,5%,6%,4%,4%,6%,4%,5%,6%,3%,5%,6%,3%,5%,6%,3%,4%,6%,5%
,Asian / Asian British: Indian,18%,19%,17%,15%,15%,18%,20%,20%,24%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,30%,17%,16%,10%,17%,13%,22%,15%,10%,21%,13%,13%,14%,18%,16%,17%,15%,20%,14%,19%,16%,8%,5%,23%,22%,23%,12%,5%,4%,76%,0%,9%,8%,94%,6%,20%,12%,5%,19%,17%,19%,18%,12%,17%,18%,12%,17%,20%,14%,12%,18%,17%,17%,18%,17%,18%,17%,18%,17%,19%,17%,16%,18%,19%,17%,19%,15%,16%,17%,19%,15%,18%,19%
,Asian / Asian British: Pakistani,16%,16%,16%,23%,17%,17%,13%,9%,8%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,10%,10%,8%,10%,22%,15%,7%,11%,5%,23%,16%,37%,15%,18%,20%,16%,19%,11%,12%,15%,12%,14%,6%,21%,14%,22%,12%,8%,1%,3%,0%,41%,2%,1%,0%,18%,11%,7%,12%,18%,18%,18%,10%,14%,14%,5%,16%,16%,14%,17%,18%,15%,12%,17%,16%,16%,15%,18%,15%,15%,18%,14%,17%,15%,15%,16%,17%,13%,18%,15%,16%,17%,14%
,Arab,3%,3%,3%,8%,4%,3%,1%,1%,5%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,3%,1%,6%,3%,3%,13%,2%,0%,0%,2%,0%,3%,6%,2%,3%,4%,4%,6%,2%,3%,5%,3%,3%,2%,2%,1%,4%,0%,1%,0%,0%,8%,1%,0%,1%,3%,4%,7%,7%,2%,2%,3%,3%,5%,3%,3%,3%,2%,7%,2%,4%,6%,3%,4%,3%,3%,3%,2%,3%,3%,4%,4%,3%,4%,3%,3%,4%,4%,3%,3%,5%,2%,4%
,Black / Black British: African,15%,18%,12%,12%,19%,14%,14%,13%,8%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,12%,10%,17%,37%,13%,17%,13%,11%,14%,13%,3%,14%,3%,6%,12%,9%,8%,16%,18%,22%,25%,15%,17%,10%,9%,8%,4%,3%,34%,0%,0%,10%,6%,0%,4%,14%,17%,8%,22%,11%,14%,17%,24%,13%,15%,36%,18%,14%,21%,21%,12%,5%,20%,12%,15%,16%,11%,17%,20%,12%,15%,19%,12%,14%,19%,11%,16%,23%,12%,11%,18%,14%,12%
,Black / Black British: Caribbean,7%,5%,9%,2%,4%,4%,8%,19%,11%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,6%,5%,10%,2%,5%,3%,4%,10%,2%,6%,13%,4%,8%,12%,11%,7%,6%,9%,3%,3%,5%,13%,11%,6%,4%,4%,2%,1%,16%,0%,17%,1%,7%,0%,13%,7%,6%,6%,4%,9%,7%,6%,5%,8%,7%,11%,7%,5%,6%,5%,7%,8%,7%,3%,9%,8%,5%,3%,7%,6%,7%,7%,6%,8%,7%,6%,6%,6%,6%,8%,7%,6%,7%
,Mixed or multiple ethnic groups,12%,10%,13%,6%,13%,13%,13%,12%,13%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,10%,15%,11%,4%,13%,13%,15%,22%,26%,11%,27%,8%,14%,16%,15%,16%,9%,11%,14%,7%,11%,18%,15%,11%,10%,9%,6%,0%,16%,0%,6%,3%,40%,0%,7%,10%,18%,7%,5%,16%,12%,11%,9%,13%,14%,6%,9%,13%,5%,10%,13%,15%,8%,12%,13%,12%,13%,8%,8%,13%,13%,12%,13%,11%,9%,14%,13%,8%,12%,16%,8%,12%,16%
,Any other ethnic group,8%,7%,8%,4%,8%,8%,9%,9%,14%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,9%,8%,8%,12%,8%,9%,8%,14%,13%,6%,24%,4%,27%,7%,8%,5%,16%,8%,16%,6%,7%,8%,21%,5%,9%,8%,50%,1%,9%,0%,64%,4%,10%,0%,65%,5%,12%,45%,7%,7%,6%,7%,10%,7%,6%,8%,6%,6%,6%,8%,5%,19%,12%,8%,6%,7%,9%,9%,9%,7%,8%,7%,9%,9%,8%,8%,5%,9%,7%,8%,8%,8%,8%
,Asian / Asian British: Other,9%,9%,9%,12%,9%,9%,8%,6%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,8%,12%,10%,15%,6%,7%,14%,12%,3%,4%,2%,9%,6%,7%,4%,9%,5%,7%,12%,11%,9%,5%,15%,8%,14%,5%,4%,47%,9%,19%,0%,6%,7%,4%,0%,8%,10%,2%,13%,6%,6%,8%,14%,9%,10%,8%,9%,10%,12%,11%,9%,6%,9%,10%,8%,8%,10%,9%,9%,10%,7%,8%,9%,9%,9%,8%,11%,9%,9%,8%,10%,9%,7%
,Black / Black British: Other,2%,2%,2%,1%,2%,3%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,3%,4%,3%,1%,3%,0%,0%,2%,10%,2%,0%,1%,0%,5%,1%,3%,2%,2%,2%,2%,2%,4%,0%,1%,4%,2%,0%,0%,5%,0%,0%,1%,2%,0%,0%,2%,2%,7%,2%,3%,3%,2%,3%,2%,2%,4%,2%,1%,1%,2%,3%,2%,2%,2%,3%,2%,3%,5%,3%,2%,2%,1%,2%,3%,2%,2%,4%,2%,2%,2%,2%,3%,2%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4 What is the highest level of educational qualifications you have achieved?,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,"Degree level or above, or professional qualifications (e.g. undergraduate or postgraduate degree, PGCE, or professional ",44%,43%,45%,29%,55%,51%,42%,33%,25%,35%,48%,48%,42%,49%,63%,27%,28%,35%,51%,37%,33%,50%,43%,62%,42%,46%,39%,40%,37%,44%,12%,56%,0%,0%,0%,0%,2%,84%,22%,99%,50%,28%,35%,48%,50%,27%,25%,49%,48%,55%,67%,43%,31%,38%,22%,42%,50%,23%,50%,40%,39%,48%,54%,44%,47%,53%,46%,46%,54%,54%,43%,31%,45%,45%,42%,44%,41%,50%,45%,43%,44%,45%,42%,45%,48%,41%,41%,49%,42%,41%,44%,45%,41%
,"Below degree level qualifications (e.g. no formal qualifications, GCSE, A Levels, higher education qualifications such a",56%,57%,55%,71%,45%,49%,58%,67%,75%,65%,52%,52%,58%,51%,37%,73%,72%,65%,49%,63%,67%,50%,57%,38%,58%,54%,61%,60%,63%,56%,88%,44%,100%,100%,100%,100%,98%,16%,78%,1%,50%,72%,65%,52%,50%,73%,75%,51%,52%,45%,33%,57%,69%,62%,78%,58%,50%,77%,50%,60%,61%,52%,46%,56%,53%,47%,54%,54%,46%,46%,57%,69%,55%,55%,58%,56%,59%,50%,55%,57%,56%,55%,58%,55%,52%,59%,59%,51%,58%,59%,56%,55%,59%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5 Were you born in the UK?,Unweighted base,3540,1553,1963,621,870,878,637,421,113,237,131,655,596,62,595,276,506,230,174,78,218,218,979,144,456,47,318,108,59,616,48,319,110,285,378,719,82,394,168,1404,816,512,30,882,1104,101,95,79,1267,289,11,1029,681,127,57,2246,1229,65,1062,2478,682,1206,371,751,1246,287,1180,1281,228,369,815,358,606,1218,1716,2193,946,401,810,1564,1166,1301,1612,627,1361,1649,530,945,1681,914,942,1553,1045
,Weighted base,3449,1635,1784,521,755,824,814,416,119,205,170,604,544,128,502,245,424,254,292,82,226,203,933,116,444,54,302,100,52,626,60,323,142,328,418,748,90,348,188,1187,840,722,39,1066,625,95,63,62,1057,317,18,1217,541,144,92,2387,988,73,1191,2258,652,1191,329,765,1252,228,1136,1286,172,312,804,360,589,1223,1637,2186,929,334,810,1534,1104,1283,1596,570,1333,1635,481,905,1670,873,940,1536,973
,Born outside the UK,35%,33%,36%,29%,37%,32%,34%,34%,61%,25%,36%,37%,27%,62%,52%,20%,15%,34%,51%,27%,34%,42%,32%,39%,32%,37%,45%,44%,33%,30%,22%,37%,42%,25%,27%,30%,22%,32%,53%,40%,64%,28%,48%,27%,18%,16%,28%,42%,38%,55%,40%,35%,20%,16%,25%,44%,14%,19%,100%,0%,19%,41%,30%,40%,40%,40%,40%,41%,22%,21%,30%,25%,38%,38%,31%,37%,32%,29%,38%,35%,31%,39%,32%,30%,40%,32%,30%,43%,34%,28%,40%,36%,28%
,Born in the UK,65%,67%,64%,71%,63%,68%,66%,66%,39%,75%,64%,63%,73%,38%,48%,80%,85%,66%,49%,73%,66%,58%,68%,61%,68%,63%,55%,56%,67%,70%,78%,63%,58%,75%,73%,70%,78%,68%,47%,60%,36%,72%,52%,73%,82%,84%,72%,58%,62%,45%,60%,65%,80%,84%,75%,56%,86%,81%,0%,100%,81%,59%,70%,60%,60%,60%,60%,59%,78%,79%,70%,75%,62%,62%,69%,63%,68%,71%,62%,65%,69%,61%,68%,70%,60%,68%,70%,57%,66%,72%,60%,64%,72%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
